date,open,high,low,close,volume,turnover,open_adj,high_adj,low_adj,close_adj,volume_adj
2015-09-30,3195.901,3223.908,3186.767000000001,3202.948,7855934900,95881598729.0,3195.901,3223.908,3186.767000000001,3202.948,7855934900
2015-10-08,3324.981,3337.331,3294.605,3296.482,13208176800,164120601354.0,3324.981,3337.331,3294.605,3296.482,13208176800
2015-10-09,3302.36,3352.3790000000013,3293.965,3340.116,12435250000,144731343186.0,3302.36,3352.3790000000013,3293.965,3340.116,12435250000
2015-10-12,3351.139,3486.631,3347.251,3447.693,22140046800,263706468495.0,3351.139,3486.631,3347.251,3447.693,22140046800
2015-10-13,3422.477000000001,3452.045,3413.967,3445.043,14543378600,174978937957.0,3422.477000000001,3452.045,3413.967,3445.043,14543378600
2015-10-14,3431.135,3458.702,3403.231,3406.112,15217393800,174599255680.0,3431.135,3458.702,3403.231,3406.112,15217393800
2015-10-15,3403.389,3486.815,3402.316,3486.815,17115829900,201881880361.0,3403.389,3486.815,3402.316,3486.815,17115829900
2015-10-16,3508.518,3537.539,3487.104000000001,3534.065,20896470900,252211491386.0,3508.518,3537.539,3487.104000000001,3534.065,20896470900
2015-10-19,3548.953,3572.995,3502.505,3534.182,20760674400,254890985147.0,3548.953,3572.995,3502.505,3534.182,20760674400
2015-10-20,3527.875,3577.798,3510.437,3577.703,17902510800,226525577194.0,3527.875,3577.798,3510.437,3577.703,17902510800
2015-10-21,3580.838,3601.243,3417.412000000001,3473.2540000000013,28207605000,326886985805.0,3580.838,3601.243,3417.412000000001,3473.2540000000013,28207605000
2015-10-22,3453.201,3530.766,3442.307,3524.534,18430558000,223583606540.0,3453.201,3530.766,3442.307,3524.534,18430558000
2015-10-23,3536.843,3581.836,3515.822,3571.241,19829447800,247059685203.0,3536.843,3581.836,3515.822,3571.241,19829447800
2015-10-26,3614.702,3620.756,3561.192,3589.261,20424886300,270489759134.0,3614.702,3620.756,3561.192,3589.261,20424886300
2015-10-27,3569.449,3601.053,3486.102000000001,3592.8790000000013,19205614000,239042538536.0,3569.449,3601.053,3486.102000000001,3592.8790000000013,19205614000
2015-10-28,3575.805,3598.172,3517.21,3524.92,17097709800,213303023833.0,3575.805,3598.172,3517.21,3524.92,17097709800
2015-10-29,3539.978,3561.814000000001,3507.966,3533.307,12701044600,161051885808.0,3539.978,3561.814000000001,3507.966,3533.307,12701044600
2015-10-30,3530.223,3574.473,3497.568,3534.079,13914191400,183317149529.0,3530.223,3574.473,3497.568,3534.079,13914191400
2015-11-02,3489.225,3543.45,3474.712,3475.962,13000256800,167455101934.0,3489.225,3543.45,3474.712,3475.962,13000256800
2015-11-03,3484.722,3501.704,3452.62,3465.493,10140187600,132231502584.0,3484.722,3501.704,3452.62,3465.493,10140187600
2015-11-04,3477.159,3628.538,3477.159,3628.538,20542386500,266955889953.0,3477.159,3628.538,3477.159,3628.538,20542386500
2015-11-05,3630.782,3781.409,3627.301,3705.97,39804656800,495138171518.0,3630.782,3781.409,3627.301,3705.97,39804656800
2015-11-06,3698.342,3801.705,3694.657,3793.374,29875307600,389779446699.0,3698.342,3801.705,3694.657,3793.374,29875307600
2015-11-09,3796.379,3891.773,3796.379,3840.355,35680482300,463161707601.0,3796.379,3891.773,3796.379,3840.355,35680482300
